Award Title,Movie Title,Nominee Name(s),Won,Year
Sound Mixing,Joker,"Tom Ozanich, Dean Zupancic and Tod Maitland",0,2020
Sound Mixing,Once upon a Time...in Hollywood,"Michael Minkler, Christian P. Minkler and Mark Ulano",0,2020
Visual Effects,1917,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",1,2020
Visual Effects,Avengers: Endgame,"Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick",0,2020
Visual Effects,The Irishman,"Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser and Stephane Grabli",0,2020
Visual Effects,The Lion King,"Robert Legato, Adam Valdez, Andrew R. Jones and Elliot Newman",0,2020
Visual Effects,Star Wars: The Rise of Skywalker,"Roger Guyett, Neal Scanlan, Patrick Tubach and Dominic Tuohy",0,2020
Writing (Adapted Screenplay),Jojo Rabbit,Taika Waititi,1,2020
Writing (Adapted Screenplay),The Irishman,Steven Zaillian,0,2020
Writing (Adapted Screenplay),Joker,Todd Phillips & Scott Silver,0,2020
Writing (Adapted Screenplay),Little Women,Greta Gerwig,0,2020
Writing (Adapted Screenplay),The Two Popes,Anthony McCarten,0,2020
Writing (Original Screenplay),Parasite,"Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho",1,2020
Writing (Original Screenplay),Knives Out,Rian Johnson,0,2020
Writing (Original Screenplay),Marriage Story,Noah Baumbach,0,2020
Writing (Original Screenplay),1917,Sam Mendes & Krysty Wilson-Cairns,0,2020
Writing (Original Screenplay),Once upon a Time...in Hollywood,Quentin Tarantino,0,2020
Actor in a Leading Role,Bohemian Rhapsody,Rami Malek,1,2019
Actor in a Leading Role,Vice,Christian Bale,0,2019
Actor in a Leading Role,A Star Is Born,Bradley Cooper,0,2019
Actor in a Leading Role,At Eternity's Gate,Willem Dafoe,0,2019
Actor in a Leading Role,Green Book,Viggo Mortensen,0,2019
Actor in a Supporting Role,Green Book,Mahershala Ali,1,2019
Actor in a Supporting Role,BlacKkKlansman,Adam Driver,0,2019
Actor in a Supporting Role,A Star Is Born,Sam Elliott,0,2019
Actor in a Supporting Role,Can You Ever Forgive Me?,Richard E. Grant,0,2019
Actor in a Supporting Role,Vice,Sam Rockwell,0,2019
Actress in a Leading Role,The Favourite,Olivia Colman,1,2019
Actress in a Leading Role,Roma,Yalitza Aparicio,0,2019
Actress in a Leading Role,The Wife,Glenn Close,0,2019
Actress in a Leading Role,A Star Is Born,Lady Gaga,0,2019
Actress in a Leading Role,Can You Ever Forgive Me?,Melissa McCarthy,0,2019
Actress in a Supporting Role,If Beale Street Could Talk,Regina King,1,2019
Actress in a Supporting Role,Vice,Amy Adams,0,2019
Actress in a Supporting Role,Roma,Marina de Tavira,0,2019
Actress in a Supporting Role,The Favourite,Emma Stone,0,2019
Actress in a Supporting Role,The Favourite,Rachel Weisz,0,2019
Animated Feature Film,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",1,2019
Animated Feature Film,Incredibles 2,"Brad Bird, John Walker and Nicole Paradis Grindle",0,2019
Animated Feature Film,Isle of Dogs,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",0,2019
Animated Feature Film,Mirai,Mamoru Hosoda and Yuichiro Saito,0,2019
Animated Feature Film,Ralph Breaks the Internet,"Rich Moore, Phil Johnston and Clark Spencer",0,2019
Cinematography,Roma,Alfonso Cuarón,1,2019
Cinematography,Cold War,Łukasz Żal,0,2019
Cinematography,The Favourite,Robbie Ryan,0,2019
Cinematography,Never Look Away,Caleb Deschanel,0,2019
Cinematography,A Star Is Born,Matthew Libatique,0,2019
Costume Design,Black Panther,Ruth Carter,1,2019
Costume Design,The Ballad of Buster Scruggs,Mary Zophres,0,2019
Costume Design,The Favourite,Sandy Powell,0,2019
Costume Design,Mary Poppins Returns,Sandy Powell,0,2019
Costume Design,Mary Queen of Scots,Alexandra Byrne,0,2019
Directing,Roma,Alfonso Cuarón,1,2019
Directing,BlacKkKlansman,Spike Lee,0,2019
Directing,Cold War,Paweł Pawlikowski,0,2019
Directing,The Favourite,Yorgos Lanthimos,0,2019
Directing,Vice,Adam McKay,0,2019
Documentary (Feature),Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",1,2019
Documentary (Feature),"Hale County This Morning, This Evening","RaMell Ross, Joslyn Barnes and Su Kim",0,2019
Documentary (Feature),Minding the Gap,Bing Liu and Diane Quon,0,2019
Documentary (Feature),Of Fathers and Sons,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert",0,2019
Documentary (Feature),RBG,Betsy West and Julie Cohen,0,2019
Documentary (Short Subject),Period. End of Sentence.,Rayka Zehtabchi and Melissa Berton,1,2019
Documentary (Short Subject),Black Sheep,Ed Perkins and Jonathan Chinn,0,2019
Documentary (Short Subject),End Game,Rob Epstein and Jeffrey Friedman,0,2019
Documentary (Short Subject),Lifeboat,Skye Fitzgerald and Bryn Mooser,0,2019
Documentary (Short Subject),A Night at The Garden,Marshall Curry,0,2019
Film Editing,Bohemian Rhapsody,John Ottman,1,2019
Film Editing,BlacKkKlansman,Barry Alexander Brown,0,2019
Film Editing,The Favourite,Yorgos Mavropsaridis,0,2019
Film Editing,Green Book,Patrick J. Don Vito,0,2019
Film Editing,Vice,Hank Corwin,0,2019
Foreign Language Film,Roma,Mexico,1,2019
Foreign Language Film,Capernaum,Lebanon,0,2019
Foreign Language Film,Cold War,Poland,0,2019
Foreign Language Film,Never Look Away,Germany,0,2019
Foreign Language Film,Shoplifters,Japan,0,2019
Makeup and Hairstyling,Vice,"Greg Cannom, Kate Biscoe and Patricia Dehaney",1,2019
Makeup and Hairstyling,Border,Göran Lundström and Pamela Goldammer,0,2019
Makeup and Hairstyling,Mary Queen of Scots,"Jenny Shircore, Marc Pilcher and Jessica Brooks",0,2019
Music (Original Score),Black Panther,Ludwig Goransson,1,2019
Music (Original Score),BlacKkKlansman,Terence Blanchard,0,2019
Music (Original Score),If Beale Street Could Talk,Nicholas Britell,0,2019
Music (Original Score),Isle of Dogs,Alexandre Desplat,0,2019
Music (Original Score),Mary Poppins Returns,Marc Shaiman,0,2019
Music (Original Song),A Star Is Born,"Shallow (Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt)",1,2019
Music (Original Song),Black Panther,"All The Stars (Music by Kendrick Lamar, Mark “Sounwave” Spears and Anthony “Top Dawg” Tiffith; Lyric by Kendrick Lamar, SZA and Anthony “Top Dawg” Tiffith)",0,2019
Music (Original Song),RBG,I'll Fight (Music and Lyric by Diane Warren),0,2019
Music (Original Song),Mary Poppins Returns,The Place Where Lost Things Go (Music by Marc Shaiman; Lyric by Scott Wittman and Marc Shaiman),0,2019
Music (Original Song),The Ballad of Buster Scruggs,When A Cowboy Trades His Spurs For Wings (Music and Lyric by Gillian Welch and David Rawlings),0,2019
Best Picture,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",1,2019
Best Picture,Black Panther,"Kevin Feige, Producer",0,2019
Best Picture,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",0,2019
Best Picture,Bohemian Rhapsody,"Graham King, Producer",0,2019
Best Picture,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",0,2019
Best Picture,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers",0,2019
Best Picture,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",0,2019
Best Picture,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",0,2019
Production Design,Black Panther,Hannah Beachler; Set Decoration: Jay Hart,1,2019
Production Design,The Favourite,Fiona Crombie; Set Decoration: Alice Felton,0,2019
Production Design,First Man,Nathan Crowley; Set Decoration: Kathy Lucas,0,2019
Production Design,Mary Poppins Returns,John Myhre; Set Decoration: Gordon Sim,0,2019
Production Design,Roma,Eugenio Caballero; Set Decoration: Bárbara Enríquez,0,2019
Short Film (Animated),Bao,Domee Shi and Becky Neiman-Cobb,1,2019
Short Film (Animated),Animal Behaviour,Alison Snowden and David Fine,0,2019
Short Film (Animated),Late Afternoon,Louise Bagnall and Nuria González Blanco,0,2019
Short Film (Animated),One Small Step,Andrew Chesworth and Bobby Pontillas,0,2019
Short Film (Animated),Weekends,Trevor Jimenez,0,2019
Short Film (Live Action),Skin,Guy Nattiv and Jaime Ray Newman,1,2019
Short Film (Live Action),Detainment,Vincent Lambe and Darren Mahon,0,2019
Short Film (Live Action),Fauve,Jeremy Comte and Maria Gracia Turgeon,0,2019
Short Film (Live Action),Marguerite,Marianne Farley and Marie-Hélène Panisset,0,2019
Short Film (Live Action),Mother,Rodrigo Sorogoyen and María del Puy Alvarado,0,2019
Sound Editing,Bohemian Rhapsody,John Warhurst and Nina Hartstone,1,2019
Sound Editing,Black Panther,Benjamin A. Burtt and Steve Boeddeker,0,2019
Sound Editing,First Man,Ai-Ling Lee and Mildred Iatrou Morgan,0,2019
Sound Editing,A Quiet Place,Ethan Van der Ryn and Erik Aadahl,0,2019
Sound Editing,Roma,Sergio Díaz and Skip Lievsay,0,2019
Sound Mixing,Bohemian Rhapsody,"Paul Massey, Tim Cavagin and John Casali",1,2019
Sound Mixing,Black Panther,"Steve Boeddeker, Brandon Proctor and Peter Devlin",0,2019
Sound Mixing,First Man,"Jon Taylor, Frank A. Montaño, Ai-Ling Lee and Mary H. Ellis",0,2019
Sound Mixing,Roma,"Skip Lievsay, Craig Henighan and José Antonio García",0,2019
Sound Mixing,A Star Is Born,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",0,2019
Visual Effects,First Man,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",1,2019
Visual Effects,Avengers: Infinity War,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",0,2019
Visual Effects,Christopher Robin,"Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould",0,2019
Visual Effects,Ready Player One,"Roger Guyett, Grady Cofer, Matthew E. Butler and David Shirk",0,2019
Visual Effects,Solo: A Star Wars Story,"Rob Bredow, Patrick Tubach, Neal Scanlan and Dominic Tuohy",0,2019
Writing (Adapted Screenplay),BlacKkKlansman,Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee,1,2019
Writing (Adapted Screenplay),The Ballad of Buster Scruggs,Joel Coen & Ethan Coen,0,2019
Writing (Adapted Screenplay),Can You Ever Forgive Me?,Nicole Holofcener and Jeff Whitty,0,2019
Writing (Adapted Screenplay),If Beale Street Could Talk,Barry Jenkins,0,2019
Writing (Adapted Screenplay),A Star Is Born,Eric Roth and Bradley Cooper & Will Fetters,0,2019
Writing (Original Screenplay),Green Book,"Nick Vallelonga, Brian Currie, Peter Farrelly",1,2019
Writing (Original Screenplay),The Favourite,Deborah Davis and Tony McNamara,0,2019
Writing (Original Screenplay),First Reformed,Paul Schrader,0,2019
Writing (Original Screenplay),Roma,Alfonso Cuarón,0,2019
Writing (Original Screenplay),Vice,Adam McKay,0,2019
Actor in a Leading Role,Darkest Hour,Gary Oldman,1,2018
Actor in a Leading Role,Call Me by Your Name,Timothée Chalamet,0,2018
Actor in a Leading Role,Phantom Thread,Daniel Day-Lewis,0,2018
Actor in a Leading Role,Get Out,Daniel Kaluuya,0,2018
Actor in a Leading Role,"Roman J. Israel, Esq.",Denzel Washington,0,2018
Actor in a Supporting Role,"Three Billboards outside Ebbing, Missouri",Sam Rockwell,1,2018
Actor in a Supporting Role,The Florida Project,Willem Dafoe,0,2018
Actor in a Supporting Role,"Three Billboards outside Ebbing, Missouri",Woody Harrelson,0,2018
Actor in a Supporting Role,The Shape of Water,Richard Jenkins,0,2018
Actor in a Supporting Role,All the Money in the World,Christopher Plummer,0,2018
Actress in a Leading Role,"Three Billboards outside Ebbing, Missouri",Frances McDormand,1,2018
Actress in a Leading Role,The Shape of Water,Sally Hawkins,0,2018
Actress in a Leading Role,"I, Tonya",Margot Robbie,0,2018
Actress in a Leading Role,Lady Bird,Saoirse Ronan,0,2018
Actress in a Leading Role,The Post,Meryl Streep,0,2018
Actress in a Supporting Role,"I, Tonya",Allison Janney,1,2018
Actress in a Supporting Role,Mudbound,Mary J. Blige,0,2018
Actress in a Supporting Role,Phantom Thread,Lesley Manville,0,2018
Actress in a Supporting Role,Lady Bird,Laurie Metcalf,0,2018
Actress in a Supporting Role,The Shape of Water,Octavia Spencer,0,2018
Animated Feature Film,Coco,Lee Unkrich and Darla K. Anderson,1,2018
Animated Feature Film,The Boss Baby,Tom McGrath and Ramsey Naito,0,2018
Animated Feature Film,The Breadwinner,Nora Twomey and Anthony Leo,0,2018
Animated Feature Film,Ferdinand,Carlos Saldanha and Lori Forte,0,2018
Animated Feature Film,Loving Vincent,"Dorota Kobiela, Hugh Welchman and Ivan Mactaggart",0,2018
Cinematography,Blade Runner 2049,Roger A. Deakins,1,2018
Cinematography,Darkest Hour,Bruno Delbonnel,0,2018
Cinematography,Dunkirk,Hoyte van Hoytema,0,2018
Cinematography,Mudbound,Rachel Morrison,0,2018
Cinematography,The Shape of Water,Dan Laustsen,0,2018
Costume Design,Phantom Thread,Mark Bridges,1,2018
Costume Design,Beauty and the Beast,Jacqueline Durran,0,2018
Costume Design,Darkest Hour,Jacqueline Durran,0,2018
Costume Design,The Shape of Water,Luis Sequeira,0,2018
Costume Design,Victoria & Abdul,Consolata Boyle,0,2018
Directing,The Shape of Water,Guillermo del Toro,1,2018
Directing,Dunkirk,Christopher Nolan,0,2018
Directing,Get Out,Jordan Peele,0,2018
Directing,Lady Bird,Greta Gerwig,0,2018
Directing,Phantom Thread,Paul Thomas Anderson,0,2018
Documentary (Feature),Icarus,Bryan Fogel and Dan Cogan,1,2018
Documentary (Feature),Abacus: Small Enough to Jail,"Steve James, Mark Mitten and Julie Goldman",0,2018
Documentary (Feature),Faces Places,"Agnès Varda, JR and Rosalie Varda",0,2018
Documentary (Feature),Last Men in Aleppo,"Feras Fayyad, Kareem Abeed and Søren Steen Jespersen",0,2018
Documentary (Feature),Strong Island,Yance Ford and Joslyn Barnes,0,2018
Documentary (Short Subject),Heaven Is a Traffic Jam on the 405,Frank Stiefel,1,2018
Documentary (Short Subject),Edith+Eddie,Laura Checkoway and Thomas Lee Wright,0,2018
Documentary (Short Subject),Heroin(e),Elaine McMillion Sheldon and Kerrin Sheldon,0,2018
Documentary (Short Subject),Knife Skills,Thomas Lennon,0,2018
Documentary (Short Subject),Traffic Stop,Kate Davis and David Heilbroner,0,2018
Film Editing,Dunkirk,Lee Smith,1,2018
Film Editing,Baby Driver,Paul Machliss and Jonathan Amos,0,2018
Film Editing,"I, Tonya",Tatiana S. Riegel,0,2018
Film Editing,The Shape of Water,Sidney Wolinsky,0,2018
Film Editing,"Three Billboards outside Ebbing, Missouri",Jon Gregory,0,2018
Foreign Language Film,A Fantastic Woman,Chile,1,2018
Foreign Language Film,The Insult,Lebanon,0,2018
Foreign Language Film,Loveless,Russia,0,2018
Foreign Language Film,On Body and Soul,Hungary,0,2018
Foreign Language Film,The Square,Sweden,0,2018
Makeup and Hairstyling,Darkest Hour,"Kazuhiro Tsuji, David Malinowski and Lucy Sibbick",1,2018
Makeup and Hairstyling,Victoria & Abdul,Daniel Phillips and Lou Sheppard,0,2018
Makeup and Hairstyling,Wonder,Arjen Tuiten,0,2018
Music (Original Score),The Shape of Water,Alexandre Desplat,1,2018
Music (Original Score),Dunkirk,Hans Zimmer,0,2018
Music (Original Score),Phantom Thread,Jonny Greenwood,0,2018
Music (Original Score),Star Wars: The Last Jedi,John Williams,0,2018
Music (Original Score),"Three Billboards outside Ebbing, Missouri",Carter Burwell,0,2018
Music (Original Song),Coco,Remember Me (Music and Lyric by Kristen Anderson-Lopez and Robert Lopez),1,2018
Music (Original Song),Mudbound,"Mighty River (Music and Lyric by Mary J. Blige, Raphael Saadiq and Taura Stinson)",0,2018
Music (Original Song),Call Me by Your Name,Mystery Of Love (Music and Lyric by Sufjan Stevens),0,2018
Music (Original Song),Marshall,Stand Up For Something (Music by Diane Warren; Lyric by Lonnie R. Lynn and Diane Warren),0,2018
Music (Original Song),The Greatest Showman,This Is Me (Music and Lyric by Benj Pasek and Justin Paul),0,2018
Best Picture,The Shape of Water,"Guillermo del Toro and J. Miles Dale, Producers",1,2018
Best Picture,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",0,2018
Best Picture,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers",0,2018
Best Picture,Dunkirk,"Emma Thomas and Christopher Nolan, Producers",0,2018
Best Picture,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",0,2018
Best Picture,Lady Bird,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers",0,2018
Best Picture,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",0,2018
Best Picture,The Post,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers",0,2018
Best Picture,"Three Billboards outside Ebbing, Missouri","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",0,2018
Production Design,The Shape of Water,Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeffrey A. Melvin,1,2018
Production Design,Beauty and the Beast,Sarah Greenwood; Set Decoration: Katie Spencer,0,2018
Production Design,Blade Runner 2049,Dennis Gassner; Set Decoration: Alessandra Querzola,0,2018
Production Design,Darkest Hour,Sarah Greenwood; Set Decoration: Katie Spencer,0,2018
Production Design,Dunkirk,Nathan Crowley; Set Decoration: Gary Fettis,0,2018
Short Film (Animated),Dear Basketball,Glen Keane and Kobe Bryant,1,2018
Short Film (Animated),Garden Party,Victor Caire and Gabriel Grapperon,0,2018
Short Film (Animated),Lou,Dave Mullins and Dana Murray,0,2018
Short Film (Animated),Negative Space,Max Porter and Ru Kuwahata,0,2018
Short Film (Animated),Revolting Rhymes,Jakob Schuh and Jan Lachauer,0,2018
Short Film (Live Action),The Silent Child,Chris Overton and Rachel Shenton,1,2018
Short Film (Live Action),DeKalb Elementary,Reed Van Dyk,0,2018
Short Film (Live Action),The Eleven O'Clock,Derin Seale and Josh Lawson,0,2018
Short Film (Live Action),My Nephew Emmett,"Kevin Wilson, Jr.",0,2018
Short Film (Live Action),Watu Wote/All of Us,Katja Benrath and Tobias Rosen,0,2018
Sound Editing,Dunkirk,Richard King and Alex Gibson,1,2018
Sound Editing,Baby Driver,Julian Slater,0,2018
Sound Editing,Blade Runner 2049,Mark Mangini and Theo Green,0,2018
Sound Editing,The Shape of Water,Nathan Robitaille and Nelson Ferreira,0,2018
Sound Editing,Star Wars: The Last Jedi,Matthew Wood and Ren Klyce,0,2018
Sound Mixing,Dunkirk,"Gregg Landaker, Gary A. Rizzo and Mark Weingarten",1,2018
Sound Mixing,Baby Driver,"Julian Slater, Tim Cavagin and Mary H. Ellis",0,2018
Sound Mixing,Blade Runner 2049,"Ron Bartlett, Doug Hemphill and Mac Ruth",0,2018
Sound Mixing,The Shape of Water,"Christian Cooke, Brad Zoern and Glen Gauthier",0,2018
Sound Mixing,Star Wars: The Last Jedi,"David Parker, Michael Semanick, Ren Klyce and Stuart Wilson",0,2018
Visual Effects,Blade Runner 2049,"John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover",1,2018
Visual Effects,Guardians of the Galaxy Vol. 2,"Christopher Townsend, Guy Williams, Jonathan Fawkner and Dan Sudick",0,2018
Visual Effects,Kong: Skull Island,"Stephen Rosenbaum, Jeff White, Scott Benza and Mike Meinardus",0,2018
Visual Effects,Star Wars: The Last Jedi,"Ben Morris, Mike Mulholland, Neal Scanlan and Chris Corbould",0,2018
Visual Effects,War for the Planet of the Apes,"Joe Letteri, Daniel Barrett, Dan Lemmon and Joel Whist",0,2018
Writing (Adapted Screenplay),Call Me by Your Name,James Ivory,1,2018
Writing (Adapted Screenplay),The Disaster Artist,Scott Neustadter & Michael H. Weber,0,2018
Writing (Adapted Screenplay),Logan,Scott Frank & James Mangold and Michael Green,0,2018
Writing (Adapted Screenplay),Molly's Game,Aaron Sorkin,0,2018
Writing (Adapted Screenplay),Mudbound,Virgil Williams and Dee Rees,0,2018
Writing (Original Screenplay),Get Out,Jordan Peele,1,2018
Writing (Original Screenplay),The Big Sick,Emily V. Gordon & Kumail Nanjiani,0,2018
Writing (Original Screenplay),Lady Bird,Greta Gerwig,0,2018
Writing (Original Screenplay),The Shape of Water,Guillermo del Toro & Vanessa Taylor,0,2018
Writing (Original Screenplay),"Three Billboards outside Ebbing, Missouri",Martin McDonagh,0,2018
Actor in a Leading Role,Manchester by the Sea,Casey Affleck,1,2017
Actor in a Leading Role,Hacksaw Ridge,Andrew Garfield,0,2017
Actor in a Leading Role,La La Land,Ryan Gosling,0,2017
Actor in a Leading Role,Captain Fantastic,Viggo Mortensen,0,2017
Actor in a Leading Role,Fences,Denzel Washington,0,2017
Actor in a Supporting Role,Moonlight,Mahershala Ali,1,2017
Actor in a Supporting Role,Hell or High Water,Jeff Bridges,0,2017
Actor in a Supporting Role,Manchester by the Sea,Lucas Hedges,0,2017
Actor in a Supporting Role,Lion,Dev Patel,0,2017
Actor in a Supporting Role,Nocturnal Animals,Michael Shannon,0,2017
Actress in a Leading Role,La La Land,Emma Stone,1,2017
Actress in a Leading Role,Elle,Isabelle Huppert,0,2017
Actress in a Leading Role,Loving,Ruth Negga,0,2017
Actress in a Leading Role,Jackie,Natalie Portman,0,2017
Actress in a Leading Role,Florence Foster Jenkins,Meryl Streep,0,2017
Actress in a Supporting Role,Fences,Viola Davis,1,2017
Actress in a Supporting Role,Moonlight,Naomie Harris,0,2017
Actress in a Supporting Role,Lion,Nicole Kidman,0,2017
Actress in a Supporting Role,Hidden Figures,Octavia Spencer,0,2017
Actress in a Supporting Role,Manchester by the Sea,Michelle Williams,0,2017
Animated Feature Film,Zootopia,"Byron Howard, Rich Moore and Clark Spencer",1,2017
Animated Feature Film,Kubo and the Two Strings,Travis Knight and Arianne Sutner,0,2017
Animated Feature Film,Moana,"John Musker, Ron Clements and Osnat Shurer",0,2017
Animated Feature Film,My Life as a Zucchini,Claude Barras and Max Karli,0,2017
Animated Feature Film,The Red Turtle,Michael Dudok de Wit and Toshio Suzuki,0,2017
Cinematography,La La Land,Linus Sandgren,1,2017
Cinematography,Arrival,Bradford Young,0,2017
Cinematography,Lion,Greig Fraser,0,2017
Cinematography,Moonlight,James Laxton,0,2017
Cinematography,Silence,Rodrigo Prieto,0,2017
Costume Design,Fantastic Beasts and Where to Find Them,Colleen Atwood,1,2017
Costume Design,Allied,Joanna Johnston,0,2017
Costume Design,Florence Foster Jenkins,Consolata Boyle,0,2017
Costume Design,Jackie,Madeline Fontaine,0,2017
Costume Design,La La Land,Mary Zophres,0,2017
Directing,La La Land,Damien Chazelle,1,2017
Directing,Arrival,Denis Villeneuve,0,2017
Directing,Hacksaw Ridge,Mel Gibson,0,2017
Directing,Manchester by the Sea,Kenneth Lonergan,0,2017
Directing,Moonlight,Barry Jenkins,0,2017
Documentary (Feature),O.J.: Made in America,Ezra Edelman and Caroline Waterlow,1,2017
Documentary (Feature),Fire at Sea,Gianfranco Rosi and Donatella Palermo,0,2017
Documentary (Feature),I Am Not Your Negro,"Raoul Peck, Rémi Grellety and Hébert Peck",0,2017
Documentary (Feature),"Life, Animated",Roger Ross Williams and Julie Goldman,0,2017
Documentary (Feature),13th,"Ava DuVernay, Spencer Averick and Howard Barish",0,2017
Documentary (Short Subject),The White Helmets,Orlando von Einsiedel and Joanna Natasegara,1,2017
Documentary (Short Subject),Extremis,Dan Krauss,0,2017
Documentary (Short Subject),4.1 Miles,Daphne Matziaraki,0,2017
Documentary (Short Subject),Joe's Violin,Kahane Cooperman and Raphaela Neihausen,0,2017
Documentary (Short Subject),Watani: My Homeland,Marcel Mettelsiefen and Stephen Ellis,0,2017
Film Editing,Hacksaw Ridge,John Gilbert,1,2017
Film Editing,Arrival,Joe Walker,0,2017
Film Editing,Hell or High Water,Jake Roberts,0,2017
Film Editing,La La Land,Tom Cross,0,2017
Film Editing,Moonlight,Nat Sanders and Joi McMillon,0,2017
Foreign Language Film,The Salesman,Iran,1,2017
Foreign Language Film,Land of Mine,Denmark,0,2017
Foreign Language Film,A Man Called Ove,Sweden,0,2017
Foreign Language Film,Tanna,Australia,0,2017
Foreign Language Film,Toni Erdmann,Germany,0,2017
Makeup and Hairstyling,Suicide Squad,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson",1,2017
Makeup and Hairstyling,A Man Called Ove,Eva von Bahr and Love Larson,0,2017
Makeup and Hairstyling,Star Trek Beyond,Joel Harlow and Richard Alonzo,0,2017
Music (Original Score),La La Land,Justin Hurwitz,1,2017
Music (Original Score),Jackie,Mica Levi,0,2017
Music (Original Score),Lion,Dustin O'Halloran and Hauschka,0,2017
Music (Original Score),Moonlight,Nicholas Britell,0,2017
Music (Original Score),Passengers,Thomas Newman,0,2017
Music (Original Song),La La Land,City of Stars (Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul),1,2017
Music (Original Song),La La Land,Audition (The Fools Who Dream) (Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul),0,2017
Music (Original Song),Trolls,"Can't Stop The Feeling (Music and Lyric by Justin Timberlake, Max Martin and Karl Johan Schuster)",0,2017
Music (Original Song),Jim: The James Foley Story,The Empty Chair (Music and Lyric by J. Ralph and Sting),0,2017
Music (Original Song),Moana,How Far I'll Go (Music and Lyric by Lin-Manuel Miranda),0,2017
Best Picture,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",1,2017
Best Picture,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers",0,2017
Best Picture,Fences,"Scott Rudin, Denzel Washington and Todd Black, Producers",0,2017
Best Picture,Hacksaw Ridge,"Bill Mechanic and David Permut, Producers",0,2017
Best Picture,Hell or High Water,"Carla Hacken and Julie Yorn, Producers",0,2017
Best Picture,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers",0,2017
Best Picture,La La Land,"Fred Berger, Jordan Horowitz and Marc Platt, Producers",0,2017
Best Picture,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers",0,2017
Best Picture,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",0,2017
Production Design,La La Land,David Wasco; Set Decoration: Sandy Reynolds-Wasco,1,2017
Production Design,Arrival,Patrice Vermette; Set Decoration: Paul Hotte,0,2017
Production Design,Fantastic Beasts and Where to Find Them,Stuart Craig; Set Decoration: Anna Pinnock,0,2017
Production Design,"Hail, Caesar!",Jess Gonchor; Set Decoration: Nancy Haigh,0,2017
Production Design,Passengers,Guy Hendrix Dyas; Set Decoration: Gene Serdena,0,2017
Short Film (Animated),Piper,Alan Barillaro and Marc Sondheimer,1,2017
Short Film (Animated),Blind Vaysha,Theodore Ushev,0,2017
Short Film (Animated),Borrowed Time,Andrew Coats and Lou Hamou-Lhadj,0,2017
Short Film (Animated),Pear Cider and Cigarettes,Robert Valley and Cara Speller,0,2017
Short Film (Animated),Pearl,Patrick Osborne,0,2017
Short Film (Live Action),Sing,Kristof Deák and Anna Udvardy,1,2017
Short Film (Live Action),Ennemis Intérieurs,Sélim Azzazi,0,2017
Short Film (Live Action),La Femme et le TGV,Timo von Gunten and Giacun Caduff,0,2017
Short Film (Live Action),Silent Nights,Aske Bang and Kim Magnusson,0,2017
